artist,attack,cardClass,collectible,cost,dbfId,flavor,health,howToEarnGolden,id,mechanics,name,race,races,rarity,set,text,type,collectionText,referencedTags,spellSchool,elite,runeCost,targetingArrowText,armor,classes,heroPowerDbfId,hasDiamondSkin,durability,faction,spellDamage,overload,howToEarn,countAsCopyOfDbfId,techLevel,isMiniSet,hideStats,rarity_cn,total_stats,expected_stats,efficiency,class_cn
Max Grecke,1.0,NEUTRAL,True,2,123675,我会夺取你的姆啦啦咯啦！！,1.0,,CATA_180,['BATTLECRY'],速逝鱼人,MURLOC,['MURLOC'],EPIC,CATACLYSM,<b>战吼：</b>你的下一张法力值消耗小于或等于（3）点的鱼人牌会消耗生命值，而非法力值。,MINION,,,,,,,,,,,,,,,,,,,,史诗,2.0,4.651116518401871,0.4300042779163061,中立
Zoltan Boros,3.0,NEUTRAL,True,3,123779,吾即是汝，汝即是吾……,3.0,,CATA_185,"['DEATHRATTLE', 'ELUSIVE']",无面复制者,,,EPIC,CATACLYSM,<b>扰魔。亡语：</b>将消灭本随从的随从变形成为无面复制者。,MINION,,,,,,变形一个敌方随从。,,,,,,,,,,,,,,史诗,6.0,6.177836264338427,0.9712138268595775,中立
Matt Dixon,4.0,NEUTRAL,True,4,123783,工作太过投入不是什么好事。,4.0,,CATA_186,['BATTLECRY'],黏弹爆破手,,,EPIC,CATACLYSM,<b>战吼：</b>使你的对手获得一张法力值消耗为（2）的黏弹。黏弹相邻的卡牌法力值消耗增加（1）点。,MINION,,,,,,,,,,,,,,,,,,,,史诗,8.0,7.704556010274983,1.0383466599932567,中立
Vlad Botos,2.0,ROGUE,True,1,123060,需要我帮你盯一眼吗？,1.0,,CATA_200,['BATTLECRY'],古神的眼线,DEMON,['DEMON'],COMMON,CATACLYSM,<b>战吼：</b>选择你手牌中的一张牌，将其变形成为幸运币。,MINION,,,,,,选择手牌中的一张牌。,,,,,,,,,,,,,,普通,3.0,3.1243967724653157,0.9601853472767609,潜行者
Guillaume Beauchêne,4.0,ROGUE,True,9,123072,我一直都是艾德温那一派。,12.0,,CATA_201,['BATTLECRY'],暮光主母,DRAGON,['DRAGON'],EPIC,CATACLYSM,"<b>战吼：</b>将所有敌方随从移回其拥有者的
手牌。",MINION,,,,,,,,,,,,,,,,,,,,史诗,16.0,15.338154739957762,1.0431502531603787,潜行者
Trent Kaniuga,6.0,NEUTRAL,True,5,123119,如果某一个头食物中毒，另一个头也会一起中招。,5.0,,CATA_206,"['ELUSIVE', 'TAUNT']",扭曲畸怪,BEAST,['BEAST'],RARE,CATACLYSM,"<b>{0}。{1}。</b>本牌在你的手牌中时，每回合随机具有两项<b>额外
效果</b>。",MINION,,,,,,,,,,,,,,,,,,,,稀有,11.0,9.231275756211538,1.1916012792271236,中立
Max Grecke,2.0,NEUTRAL,True,2,123122,“我就是你见过的最最谦逊的人。”,6.0,,CATA_208,['TAUNT'],无私的保卫者,,,RARE,CATACLYSM,<b>嘲讽</b>。受到的所有伤害提高一点。,MINION,,,,,,,,,,,,,,,,,,,,稀有,8.0,4.651116518401871,1.7200171116652243,中立
Matt Dixon,3.0,NEUTRAL,True,3,123124,尽情开火，然后静待毁灭变为现实。,4.0,可以在<i>大地的裂变</i>奖励路线中获得该奖励。,CATA_209,['BATTLECRY'],战场轰炸手,,,COMMON,CATACLYSM,<b>战吼：</b>选择你手牌中的一张法术牌，使其获得<b>法术伤害+1</b>。,MINION,,['SPELLPOWER'],,,,选择你手牌中的一张法术牌。,,,,,,,,,,,,,,普通,7.0,6.177836264338427,1.1330827980028404,中立
Felideus Bubastis,0.0,NEUTRAL,True,1,123126,出笼的会是多大的雏龙？,2.0,可以在<i>大地的裂变</i>奖励路线中获得该奖励。,CATA_210,"['DEATHRATTLE', 'TRIGGER_VISUAL']",暮光龙卵,,,COMMON,CATACLYSM,<b>亡语：</b>召唤一条2/2的雏龙。<i>（在你的回合开始时获得+1/+1！）</i>,MINION,,,,,,,,,,,,,,,,,,,,普通,2.0,3.1243967724653157,0.6401235648511739,中立
Kevin Sidharta,6.0,NEUTRAL,True,6,123151,“是什么导致了魔暴龙灭绝？是冰河期！”,6.0,,CATA_213,['BATTLECRY'],威拉诺兹,ELEMENTAL,['ELEMENTAL'],LEGENDARY,CATACLYSM,<b>战吼：</b>如果你的套牌中随从牌的法力值消耗之和为100，使你牌库中的随从获得总计100点的属性值。,MINION,,,,True,,,,,,True,,,,,,,,,,传说,12.0,10.757995502148095,1.1154494345720734,中立
Ursula Dorada,4.0,PRIEST,True,4,123426,对对对，“治疗”效果，太对了。,5.0,,CATA_216,['BATTLECRY'],净化祭司,DRAENEI,['DRAENEI'],EPIC,CATACLYSM,<b>战吼：</b>在本局对战中，你的治疗效果恢复的生命值增加2点。,MINION,,,,,,,,,,,,,,,,,,,,史诗,9.0,7.704556010274983,1.1681399924924138,牧师
Vladimir Kafanov,5.0,PRIEST,True,7,122755,希奈丝特拉满心恨意，智谋超群。她从地底深处召唤出了黑血，用来变异并强化她的部队。,9.0,,CATA_300,"['COLOSSAL', 'TRIGGER_VISUAL']",黑血,,,LEGENDARY,CATACLYSM,"<b>巨型+3</b>
在你为一个角色恢复生命值后，随机攻击一个敌方随从。",MINION,,,,True,,,,,,,,,,,,,,,,传说,14.0,12.284715248084652,1.1396275548334573,牧师
Brian Despain,3.0,PRIEST,True,3,122881,这就是快速自疗。,8.0,,CATA_304,"['BATTLECRY', 'LIFESTEAL']",受伤的侍者,UNDEAD,['UNDEAD'],RARE,CATACLYSM,<b><b>吸血。</b>战吼：</b>对本随从造成4点伤害。,MINION,,,,,,,,,,,,,,,,,,,,稀有,11.0,6.177836264338427,1.7805586825758921,牧师
Luke Mancini,3.0,PRIEST,True,4,122878,烧烤的香气！,3.0,,CATA_305,['TRIGGER_VISUAL'],盛怒主母,DRAGON,['DRAGON'],COMMON,CATACLYSM,"在你的回合结束时，如果本随从具有所有生命值，获得+3
生命值。",MINION,,,,,,,,,,,,,,,,,,,,普通,6.0,7.704556010274983,0.7787599949949425,牧师
Edgar Hidalgo,8.0,PRIEST,True,7,123146,“我赠予了这个世界生命，当然也能夺回！”,8.0,,CATA_307,['BATTLECRY'],阿莱克丝塔萨，生命守护者,DRAGON,['DRAGON'],LEGENDARY,CATACLYSM,<b>战吼：</b>将你的英雄剩余生命值变为15。当你恢复所有生命值时，对敌方英雄造成15点伤害。,MINION,,,,True,,,,,,True,,,,,,,,,,传说,16.0,12.284715248084652,1.3024314912382369,牧师
Timur Shevtsov,8.0,PALADIN,True,8,122401,在我们的时间线，奈法里奥斯从未实现缝合五种巨龙的狂想。不过，姆诺兹多找到了他成功的时间线。,8.0,,CATA_432,"['COLOSSAL', 'DIVINE_SHIELD', 'ELUSIVE', 'LIFESTEAL', 'TAUNT']",克洛玛图斯,DRAGON,['DRAGON'],LEGENDARY,CATACLYSM,"<b>巨型+4</b>
<b>嘲讽</b>。<b>吸血</b>。<b>扰魔</b>
<b>圣盾</b>",MINION,,,,True,,,,,,,,,,,,,,,,传说,16.0,13.811434994021205,1.1584603632371435,圣骑士
Sergey Tsvelykh,4.0,MAGE,True,4,122632,这张牌的设计原型出自卡雷的构思：卡雷构思。,4.0,,CATA_458,['BATTLECRY'],大法师卡雷,,,LEGENDARY,CATACLYSM,<b>战吼：</b>使你手牌和牌库中所有法术牌获得<b>法术伤害+1</b>。,MINION,,['SPELLPOWER'],,True,,,,,,True,,,,,,,,,,传说,8.0,7.704556010274983,1.0383466599932567,法师
Patrik Bjorkstrom,3.0,DEATHKNIGHT,True,2,122759,嘴巴凉凉哦！,1.0,,CATA_464,['DEATHRATTLE'],黑翼实验品,DRAGON,"['UNDEAD', 'DRAGON']",RARE,CATACLYSM,<b>亡语：</b>获取一张法力值消耗为（2）的法术，该法术可以造成等同于本随从攻击力的伤害。,MINION,,,,,"{'blood': 0, 'frost': 1, 'unholy': 0}",,,,,,,,,,,,,,,稀有,4.0,4.651116518401871,0.8600085558326122,
Alex Stone,2.0,DEATHKNIGHT,True,4,122771,全系抗性装备都穿上吧。,5.0,,CATA_469,"['RUSH', 'TRIGGER_VISUAL']",多彩龙巢母,DRAGON,"['UNDEAD', 'DRAGON']",EPIC,CATACLYSM,"<b>突袭</b>。每当本随从
攻击时，复原等同于本随从攻击力的法力水晶。",MINION,,,,,"{'blood': 0, 'frost': 1, 'unholy': 1}",,,,,,,,,,,,,,,史诗,7.0,7.704556010274983,0.9085533274940997,
Ramzy Kamen,4.0,DEATHKNIGHT,True,4,122778,呃，其实吧，那条亡灵巨龙是维克多·奈法里奥斯的怪物，维克多·奈法里奥斯才是疯狂的科学家。,4.0,,CATA_470,['BATTLECRY'],维克多·奈法里奥斯,UNDEAD,['UNDEAD'],LEGENDARY,CATACLYSM,<b>战吼：</b>制造一条自定义的亡灵龙。如果你的手牌中有龙牌，制造的这条龙的法力值消耗减少（3）点。,MINION,,,,True,"{'blood': 0, 'frost': 0, 'unholy': 1}",,,,,True,,,,,,,,,,传说,8.0,7.704556010274983,1.0383466599932567,
Zoltan Boros,4.0,PALADIN,True,5,123109,诺兹多姆，我是来谈条件的！,4.0,,CATA_473,['TRIGGER_VISUAL'],诺兹多姆，青铜守护巨龙,,,LEGENDARY,CATACLYSM,在你的回合结束时，使你的随从获得<b>圣盾</b>，已有圣盾的随从改为获得+3/+3。,MINION,,['DIVINE_SHIELD'],,True,,,,,,,,,,,,,,,,传说,8.0,9.231275756211538,0.8666191121651807,圣骑士
Jason Kang,3.0,PALADIN,True,4,123112,“没关系的，在我心里像根矛一样轻。”,4.0,,CATA_474,['TRIGGER_VISUAL'],矛心哨卫,DRAGON,['DRAGON'],RARE,CATACLYSM,在你的回合结束时，随机获取一张神圣法术牌，其法力值消耗减少（3）点。,MINION,,,,,,,,,,,,,,,,,,,,稀有,7.0,7.704556010274983,0.9085533274940997,圣骑士
Matt Dixon,3.0,PALADIN,True,6,123114,阿盾！守住大门！,6.0,,CATA_475,['TRIGGER_VISUAL'],破鳞盾卫,,,COMMON,CATACLYSM,"在你的回合结束时，对所有敌人造成
2点伤害。",MINION,,,,,,,,,,,,HORDE,,,,,,,,普通,9.0,10.757995502148095,0.836587075929055,圣骑士
Sergey Tsvelykh,3.0,NEUTRAL,True,8,123115,我是青铜护卫者，守护青铜一族的巨龙。诺兹多姆也在他面前瑟瑟发抖！,7.0,,CATA_476,['TRIGGER_VISUAL'],青铜护卫者,DRAGON,['DRAGON'],COMMON,CATACLYSM,在你的回合结束时，召唤一条6/6并具有<b>圣盾</b>的元素巨龙。,MINION,,['DIVINE_SHIELD'],,,,,,,,,,,,,,,,,,普通,10.0,13.811434994021205,0.7240377270232147,中立
James Ryman,3.0,PALADIN,True,5,123123,高贵的圣骑士只会选用最高级的青铜。,3.0,,CATA_478,['TRIGGER_VISUAL'],青铜救赎者,,,EPIC,CATACLYSM,在你的回合结束时，召唤一条属性值等同于本随从的龙。,MINION,,,,,,,,,,,,,,,,,,,,史诗,6.0,9.231275756211538,0.6499643341238855,圣骑士
Alex Horley Orlandelli,5.0,ROGUE,True,5,123332,“你还吃不吃了？”,3.0,,CATA_481,"['BATTLECRY', 'DEATHRATTLE']",厄索拉斯,,,LEGENDARY,CATACLYSM,<b>战吼：</b>随机吞食对手的两张手牌，然后<b>休眠</b>2回合。<b>亡语：</b>吐回吞食的牌。,MINION,,,,True,,,,,,,,,,,,,,,,传说,8.0,9.231275756211538,0.8666191121651807,潜行者
Mauricio Herrera,2.0,MAGE,True,4,123351,1，2，3，4，法术决斗！,5.0,,CATA_483,"['BATTLECRY', 'SPELLPOWER']",不稳定的施法者,ELEMENTAL,['ELEMENTAL'],EPIC,CATACLYSM,<b>法术伤害+1</b>。<b>战吼：</b>如果你在本回合中用法术造成过伤害，召唤一个本随从的复制。,MINION,,,,,,,,,,,,,1.0,,,,,,,史诗,7.0,7.704556010274983,0.9085533274940997,法师
Matt Dixon,1.0,MAGE,True,1,123398,学习展翅飞翔的时候，参考其他职业的经验很重要！,2.0,,CATA_484,"['BATTLECRY', 'DISCOVER']",冬泉雏龙,DRAGON,['DRAGON'],COMMON,CATACLYSM,<b>战吼：</b><b>发现</b>一张任意职业的法力值消耗为（1）的法术牌。,MINION,,,,,,,,,,,,,,,,,,,,普通,3.0,3.1243967724653157,0.9601853472767609,法师
Tanamaes Leejierasaes,1.0,MAGE,True,2,123419,请将甘霖赐予纳沙塔尔……,4.0,,CATA_487,['TRIGGER_VISUAL'],祈雨元素,ELEMENTAL,['ELEMENTAL'],RARE,CATACLYSM,每回合中，你第一次用法术造成伤害时，获得+2攻击力。,MINION,,,,,,,,,,,,,,,,,,,,稀有,5.0,4.651116518401871,1.0750106947907652,法师
Zoltan Boros,4.0,MAGE,True,7,123665,拉格纳罗斯誓要让艾泽拉斯化为火海。他唤醒了一座活火山，熔岩横流，漫过了贫瘠之地。,8.0,,CATA_488,"['COLOSSAL', 'TRIGGER_VISUAL']",沃坎诺斯,ELEMENTAL,['ELEMENTAL'],LEGENDARY,CATACLYSM,"<b>巨型+2</b>
在你的回合结束时，对所有其他随从造成2点伤害。",MINION,,,,True,,,,,,,,,,,,,,,,传说,12.0,12.284715248084652,0.9768236184286776,法师
James Ryman,3.0,WARLOCK,True,3,122710,弃掉哪一张：1号？还是2号？再看看，是1号？还是2号？,6.0,,CATA_490,"['BATTLECRY', 'TAUNT']",魔眼秘术师,DEMON,['DEMON'],COMMON,CATACLYSM,"<b>嘲讽</b>。<b>战吼：</b>选择你手牌中的一张牌
并弃掉。",MINION,,,,,,选择一张牌并弃掉。,,,,,,,,,,,,,,普通,9.0,6.177836264338427,1.4568207402893663,术士
Mike Sass,2.0,WARLOCK,True,4,122713,其实大家的爵位都是低于公爵。,2.0,,CATA_493,['RUSH'],地狱公爵,,,EPIC,CATACLYSM,<b>突袭</b>。在本局对战中，你每弃掉一张牌，便拥有+2/+2。,MINION,,,,,,,,,,,,,,,,,,,,史诗,4.0,7.704556010274983,0.5191733299966284,术士
Matt Dixon,7.0,WARLOCK,True,7,122714,两泵蓝树莓果泥，两泵樱桃果泥，再加两泵死灵软泥。,7.0,,CATA_494,['TRIGGER_VISUAL'],马洛拉克,DRAGON,['DRAGON'],LEGENDARY,CATACLYSM,在你弃掉一张随从牌后，召唤一个该随从的复制。,MINION,,,,True,,,,,,True,,,,,,,,,,传说,14.0,12.284715248084652,1.1396275548334573,术士
Mooncolony,6.0,,True,6,122832,再过几年，就会变成超巨奥卓克希昂。,7.0,,CATA_497,['BATTLECRY'],奥卓克希昂,DRAGON,['DRAGON'],LEGENDARY,CATACLYSM,<b>战吼：</b><b>兆示</b>{0}。使死亡之翼的法力值消耗减少（{1}）点。<i>（随<b>兆示</b>的次数提升！）</i>,MINION,,,,True,,,,"['DEATHKNIGHT', 'ROGUE', 'SHAMAN', 'WARLOCK', 'WARRIOR', 'DEMONHUNTER']",,True,,,,,,,,,,传说,13.0,10.757995502148095,1.208403554119746,
Ian Ameling,3.0,DEMONHUNTER,True,3,122765,"亲爱的卡基安，
大灾变一切顺利，像游泳一样顺滑！期待回去的那一天。我们放血后见！
爱你的维扎尔。",1.0,,CATA_525,"['BATTLECRY', 'RUSH']",装甲放血纳迦,NAGA,['NAGA'],COMMON,CATACLYSM,<b>突袭</b>。<b>战吼：</b><b>兆示</b>{0}。,MINION,,,,,,,,,,,,,,,,,,,,普通,4.0,6.177836264338427,0.6474758845730517,恶魔猎手
Stefan Bogdasarov,5.0,DEMONHUNTER,True,6,122775,你好，我是落难的辛艾萨利亲王，现在急需50000000金币用于周转，请尽量伸出援手，将资金转入千针石林的安全账户，将来必有厚报。,5.0,,CATA_529,,贪婪的邪能钓鱼者,NAGA,['NAGA'],RARE,CATACLYSM,在本局对战中，你每施放一个邪能法术，本牌的法力值消耗便减少（1）点。,MINION,,,,,,,,,,,,,,,,,,,,稀有,10.0,10.757995502148095,0.9295411954767278,恶魔猎手
Luca Zontini,2.0,HUNTER,True,7,122865,奈法里奥斯从未真正关心过他的玩物，他只是看到了改造的空间。,12.0,,CATA_550,"['COLOSSAL', 'TRIGGER_VISUAL']",熔喉,BEAST,"['MECHANICAL', 'BEAST']",LEGENDARY,CATACLYSM,"<b>巨型+99</b>
当场上有空位时，召唤剩余的肢节。99<b>巨型+99</b>
当场上有空位时，召唤剩余的肢节。<i>（还剩{0}个！）</i>",MINION,,,,True,,,,,,,,,,,,,,,,传说,14.0,12.284715248084652,1.1396275548334573,猎人
Eric Kenji,3.0,HUNTER,True,3,122867,到底还有多少角色的真实身份是龙？,3.0,,CATA_551,,石爪打击者,,,RARE,CATACLYSM,<b>嘲讽</b>。<i>（当本牌在你手中时，使用一张龙牌即可将本牌变为6/6的龙！）</i>,MINION,,['TAUNT'],,,,,,,,,,,,,,,,,,稀有,6.0,6.177836264338427,0.9712138268595775,猎人
Grafit,4.0,HUNTER,True,6,122869,巨龙的双眼能看到很多……食物。,4.0,,CATA_552,['BATTLECRY'],乌鳞斥候,,,EPIC,CATACLYSM,<b>战吼：</b>造成等同于本随从攻击力的伤害。<i>（当本牌在你手中时，使用一张龙牌即可将本牌变为8/8的龙！）</i>,MINION,,,,,,造成等同于本随从攻击力的伤害。,,,,,,,,,,,,,,史诗,8.0,10.757995502148095,0.7436329563813822,猎人
Timur Shevtsov,6.0,HUNTER,True,7,122871,我叫什么？我叫艾，呃，嘿嘿，叫……嘿叫！对，我叫黑角。,6.0,,CATA_553,['BATTLECRY'],艾比西安,,,LEGENDARY,CATACLYSM,<b>战吼：</b>在本局对战中，你的龙拥有<b>突袭</b>。<i>（当本牌在你手中时，使用一张龙牌即可将本牌变为12/12的龙！）</i>,MINION,,['RUSH'],,True,,,,,,,,,,,,,,,,传说,12.0,12.284715248084652,0.9768236184286776,猎人
Tanamaes Leejierasaes,1.0,NEUTRAL,True,1,122933,雏龙宝宝就是这么来的……,2.0,可以在<i>大地的裂变</i>奖励路线中获得该奖励。,CATA_556,['BATTLECRY'],载蛋雏龙,DRAGON,['DRAGON'],COMMON,CATACLYSM,<b>战吼：</b>随机获取一张法力值消耗小于或等于（3）点的龙牌。,MINION,,,,,,,,,,,,,,,,,,,,普通,3.0,3.1243967724653157,0.9601853472767609,中立
Stefan Bogdasarov,2.0,HUNTER,True,1,122937,不对，这不是战棋酒馆！,2.0,,CATA_558,,进击的募援官,,,COMMON,CATACLYSM,<b>扰魔</b>,MINION,,['ELUSIVE'],,,,,,,,,,,,,,,,,,普通,4.0,3.1243967724653157,1.2802471297023479,猎人
Daniil Kudriavtsev,4.0,SHAMAN,True,3,122950,于云深处听惊雷。,3.0,,CATA_563,"['BATTLECRY', 'DEATHRATTLE']",雷鸣流云,ELEMENTAL,['ELEMENTAL'],EPIC,CATACLYSM,<b>战吼：</b>选择并吸收你手牌中一张法力值消耗小于或等于（4）点的法术牌。<b>亡语：</b>施放该法术。,MINION,,,,,,选择手牌中的一张法术牌。,,,,,,,,,,,,,,史诗,7.0,6.177836264338427,1.1330827980028404,萨满
