artist,attack,cardClass,collectible,cost,dbfId,flavor,health,howToEarnGolden,id,mechanics,name,race,races,rarity,set,text,type,collectionText,referencedTags,spellSchool,elite,runeCost,targetingArrowText,armor,classes,heroPowerDbfId,hasDiamondSkin,durability,faction,spellDamage,overload,howToEarn,countAsCopyOfDbfId,techLevel,isMiniSet,hideStats,rarity_cn
Vika Yarova,4.0,DRUID,True,8,122978,我在一回合中消耗的法力值超乎你的梦想！,12.0,,CATA_140,,梦境之龙麦琳瑟拉,DRAGON,['DRAGON'],LEGENDARY,CATACLYSM,<b>战吼：</b>用随机的龙牌填满你的手牌。如果你在本牌在你手中时消耗过25点法力值，这些龙牌的法力值消耗为（1）点。<i>（还剩{0}点！）</i>@<b>战吼：</b>用随机的龙牌填满你的手牌。如果你在本牌在你手中时消耗过25点法力值，这些龙牌的法力值消耗为（1）点。<i>（已经就绪！）</i>@<b>战吼：</b>用随机的龙牌填满你的手牌。如果你在本牌在你手中时消耗过25点法力值，这些龙牌的法力值消耗为（1）点。,MINION,<b>战吼：</b>用随机的龙牌填满你的手牌。如果你在本牌在你手中时消耗过25点法力值，这些龙牌的法力值消耗为（1）点。<i>（还剩{0}点！）</i>,['BATTLECRY'],,True,,,,,,,,,,,,,,,,传说
Alex Horley Orlandelli,8.0,WARRIOR,True,8,124110,炎魔之王和死亡之翼迅速打了个火热。能亲眼看见艾泽拉斯彻底烧毁，他早就等不及了。,8.0,,CATA_150,"['COLOSSAL', 'TRIGGER_VISUAL']",拉格纳罗斯，绝世烈火,ELEMENTAL,['ELEMENTAL'],LEGENDARY,CATACLYSM,"<b>巨型+2</b>
在你的回合结束时，触发你的随从的
<b>亡语</b>。",MINION,,['DEATHRATTLE'],,True,,,,,,,,,,,,,,,,传说
James Ryman,8.0,DEMONHUNTER,True,8,124116,艾萨拉一生从不愿自认下风——哪怕是面对死亡之翼。但她也从不拒绝与强者达成交易。,8.0,,CATA_151,"['AURA', 'COLOSSAL']",艾萨拉，海洋之主,NAGA,['NAGA'],LEGENDARY,CATACLYSM,"<b>巨型+2</b>
你的英雄拥有<b>风怒</b>。",MINION,,['WINDFURY'],,True,,,,,,,,,,,,,,,,传说
Slawomir Maniak,2.0,SHAMAN,True,8,125442,死亡之翼向风领主许下了自由与力量。于是奥拉基尔在奥丹姆上空召来了巨大的风暴，亲率部队攻向了泰坦的要塞。,8.0,,CATA_153,"['COLOSSAL', 'RUSH', 'WINDFURY']",奥拉基尔，风暴之主,ELEMENTAL,['ELEMENTAL'],LEGENDARY,CATACLYSM,"<b>巨型+2
<b>突袭。</b>风怒。</b><b>战吼：</b>获取2张法力值消耗等同于本随从攻击力的随从牌，这两张牌的法力值消耗为（1）点。",MINION,,['BATTLECRY'],,True,,,,,,,,,,,,,,,,传说
Alex Stone,5.0,ROGUE,True,6,125450,纵然希奈丝特拉已对旧日的爱侣再无感情，但她仍愿与他携手共事——只要她的暮光龙群能最终统治残存的艾泽拉斯。,5.0,,CATA_154,"['AURA', 'COLOSSAL']",希奈丝特拉,DRAGON,['DRAGON'],LEGENDARY,CATACLYSM,"<b>巨型+2</b>
你的其他职业的法术会施放两次。",MINION,,,,True,,,,,,,,,,,,,,,,传说
Kevin Sidharta,3.0,DEATHKNIGHT,True,9,124138,奥妮克希亚被她亲爱的哥哥从坟墓里拉了起来。你还指望她说谢谢吗？,6.0,,CATA_155,"['COLOSSAL', 'TRIGGER_VISUAL']",复活的奥妮克希亚,DRAGON,"['UNDEAD', 'DRAGON']",LEGENDARY,CATACLYSM,"<b>巨型+2</b>
当你的英雄在你的回合即将失去生命值时，改为获得等量的生命值上限。",MINION,,,,True,"{'blood': 2, 'frost': 0, 'unholy': 0}",,,,,,,,,,,,,,,传说
Grafit,,DEATHKNIGHT,True,6,123546,如果我们把演示动画的帧率降到23，会不会变得<i>更诡异</i>？,,,CATA_156,,试验演示,,,COMMON,CATACLYSM,<b>兆示</b>{0}。对所有敌方随从造成$4点伤害。,SPELL,,,SHADOW,,"{'blood': 2, 'frost': 0, 'unholy': 0}",,,,,,,,,,,,,,,普通
AJ Nazzaro,4.0,ROGUE,True,3,123549,就是紧贴在你后方2步还开着10000瓦大灯的那种人。,1.0,,CATA_158,"['DEATHRATTLE', 'STEALTH']",癫狂的追随者,,,EPIC,CATACLYSM,<b>潜行</b>。<b>亡语：</b><b>兆示</b>{0}。,MINION,,,,,,,,,,,,,,,,,,,,史诗
Zoltan Boros,4.0,WARRIOR,True,4,123552,如果是我站在岩浆里，我也灼急。,3.0,,CATA_160,['BATTLECRY'],灼烧掠夺者,DRAGON,['DRAGON'],RARE,CATACLYSM,<b>战吼：</b><b>兆示</b>{0}，并使该士兵获得<b>突袭</b>。,MINION,,['RUSH'],,,,,,,,,,,,,,,,,,稀有
Luca Zontini,3.0,DEATHKNIGHT,True,3,123547,它母亲超爱它这张脸。,3.0,,CATA_161,['BATTLECRY'],残恶梦魇,BEAST,['BEAST'],EPIC,CATACLYSM,<b>战吼：</b>使你手牌中或战场上的一个随从获得等同于本随从攻击力的攻击力。,MINION,,,,,,选择你手牌中或战场上的一个随从。,,,,,,,,,,,,,,史诗
Max Grecke,1.0,NEUTRAL,True,2,123675,我会夺取你的姆啦啦咯啦！！,1.0,,CATA_180,['BATTLECRY'],速逝鱼人,MURLOC,['MURLOC'],EPIC,CATACLYSM,<b>战吼：</b>你的下一张法力值消耗小于或等于（3）点的鱼人牌会消耗生命值，而非法力值。,MINION,,,,,,,,,,,,,,,,,,,,史诗
Zoltan Boros,3.0,NEUTRAL,True,3,123779,吾即是汝，汝即是吾……,3.0,,CATA_185,"['DEATHRATTLE', 'ELUSIVE']",无面复制者,,,EPIC,CATACLYSM,<b>扰魔。亡语：</b>将消灭本随从的随从变形成为无面复制者。,MINION,,,,,,变形一个敌方随从。,,,,,,,,,,,,,,史诗
Matt Dixon,4.0,NEUTRAL,True,4,123783,工作太过投入不是什么好事。,4.0,,CATA_186,['BATTLECRY'],黏弹爆破手,,,EPIC,CATACLYSM,<b>战吼：</b>使你的对手获得一张法力值消耗为（2）的黏弹。黏弹相邻的卡牌法力值消耗增加（1）点。,MINION,,,,,,,,,,,,,,,,,,,,史诗
Alex Horley Orlandelli,,,True,10,125467,死亡之翼在自己的时间线中摧毁了艾泽拉斯，还要图谋我们的世界，还有下一个、下下一个，直到万物尽毁。,30.0,,CATA_190h,['BATTLECRY'],灭世者死亡之翼,,,LEGENDARY,CATACLYSM,<b>战吼：</b>选择并释放{0}项灾变！<i><b>兆示</b>两次后升级。</i>@<b>战吼：</b>选择并释放{0}项灾变！<i><b>兆示</b>一次后升级。</i>@<b>战吼：</b>选择并释放{0}项灾变！,HERO,<b>战吼：</b>选择并释放{0}项灾变！<i><b>兆示</b>两次后升级。</i>,,,True,,,12.0,"['DEATHKNIGHT', 'ROGUE', 'SHAMAN', 'WARLOCK', 'WARRIOR', 'DEMONHUNTER']",125466.0,,,,,,,,,,,传说
Vlad Botos,2.0,ROGUE,True,1,123060,需要我帮你盯一眼吗？,1.0,,CATA_200,['BATTLECRY'],古神的眼线,DEMON,['DEMON'],COMMON,CATACLYSM,<b>战吼：</b>选择你手牌中的一张牌，将其变形成为幸运币。,MINION,,,,,,选择手牌中的一张牌。,,,,,,,,,,,,,,普通
Guillaume Beauchêne,4.0,ROGUE,True,9,123072,我一直都是艾德温那一派。,12.0,,CATA_201,['BATTLECRY'],暮光主母,DRAGON,['DRAGON'],EPIC,CATACLYSM,"<b>战吼：</b>将所有敌方随从移回其拥有者的
手牌。",MINION,,,,,,,,,,,,,,,,,,,,史诗
Patrik Bjorkstrom,,ROGUE,True,3,123074,我会夺取你的力量！,,,CATA_202,,能量窃取,,,COMMON,CATACLYSM,随机获取一张另一职业的<i>已拼合的</i><b>裂变</b>牌。,SPELL,,,SHADOW,,,,,,,,,,,,,,,,,普通
Edgar Hidalgo,,ROGUE,True,2,123077,希奈丝特拉时刻提防着死亡之翼的背叛，却没能发现背后的迦罗娜。,,,CATA_203,,迦罗娜的奋战,,,COMMON,CATACLYSM,"<b>可交易</b>
消灭一个<b>传说</b>
随从。",SPELL,,['TRADEABLE'],,,,,,,,,,,,,,,,,,普通
Trent Kaniuga,6.0,NEUTRAL,True,5,123119,如果某一个头食物中毒，另一个头也会一起中招。,5.0,,CATA_206,"['ELUSIVE', 'TAUNT']",扭曲畸怪,BEAST,['BEAST'],RARE,CATACLYSM,"<b>{0}。{1}。</b>本牌在你的手牌中时，每回合随机具有两项<b>额外
效果</b>。",MINION,,,,,,,,,,,,,,,,,,,,稀有
Max Grecke,2.0,NEUTRAL,True,2,123122,“我就是你见过的最最谦逊的人。”,6.0,,CATA_208,['TAUNT'],无私的保卫者,,,RARE,CATACLYSM,<b>嘲讽</b>。受到的所有伤害提高一点。,MINION,,,,,,,,,,,,,,,,,,,,稀有
Matt Dixon,3.0,NEUTRAL,True,3,123124,尽情开火，然后静待毁灭变为现实。,4.0,可以在<i>大地的裂变</i>奖励路线中获得该奖励。,CATA_209,['BATTLECRY'],战场轰炸手,,,COMMON,CATACLYSM,<b>战吼：</b>选择你手牌中的一张法术牌，使其获得<b>法术伤害+1</b>。,MINION,,['SPELLPOWER'],,,,选择你手牌中的一张法术牌。,,,,,,,,,,,,,,普通
Felideus Bubastis,0.0,NEUTRAL,True,1,123126,出笼的会是多大的雏龙？,2.0,可以在<i>大地的裂变</i>奖励路线中获得该奖励。,CATA_210,"['DEATHRATTLE', 'TRIGGER_VISUAL']",暮光龙卵,,,COMMON,CATACLYSM,<b>亡语：</b>召唤一条2/2的雏龙。<i>（在你的回合开始时获得+1/+1！）</i>,MINION,,,,,,,,,,,,,,,,,,,,普通
Kevin Sidharta,6.0,NEUTRAL,True,6,123151,“是什么导致了魔暴龙灭绝？是冰河期！”,6.0,,CATA_213,['BATTLECRY'],威拉诺兹,ELEMENTAL,['ELEMENTAL'],LEGENDARY,CATACLYSM,<b>战吼：</b>如果你的套牌中随从牌的法力值消耗之和为100，使你牌库中的随从获得总计100点的属性值。,MINION,,,,True,,,,,,True,,,,,,,,,,传说
Ramzy Kamen,,ROGUE,True,3,123315,弱爆了。,,,CATA_215,,眩晕,,,RARE,CATACLYSM,将一个敌方随从移回其拥有者的手牌，并使其无法在下回合中使用。,SPELL,,,SHADOW,,,,,,,,,,,,,,,,,稀有
Ursula Dorada,4.0,PRIEST,True,4,123426,对对对，“治疗”效果，太对了。,5.0,,CATA_216,['BATTLECRY'],净化祭司,DRAENEI,['DRAENEI'],EPIC,CATACLYSM,<b>战吼：</b>在本局对战中，你的治疗效果恢复的生命值增加2点。,MINION,,,,,,,,,,,,,,,,,,,,史诗
Vladimir Kafanov,5.0,PRIEST,True,7,122755,希奈丝特拉满心恨意，智谋超群。她从地底深处召唤出了黑血，用来变异并强化她的部队。,9.0,,CATA_300,"['COLOSSAL', 'TRIGGER_VISUAL']",黑血,,,LEGENDARY,CATACLYSM,"<b>巨型+3</b>
在你为一个角色恢复生命值后，随机攻击一个敌方随从。",MINION,,,,True,,,,,,,,,,,,,,,,传说
Bima Kusuma,,PRIEST,True,1,122757,千好万好，不如家好！,3.0,,CATA_301,,红玉圣殿,,,RARE,CATACLYSM,在本回合中，你的下一次治疗效果转而造成等量的伤害。,LOCATION,,,,,,,,,,,,,,,,,,,,稀有
Ivan Fomin,,PRIEST,True,1,122779,你没事儿的，别告诉妈妈。,,,CATA_302,,愈合,,,COMMON,CATACLYSM,为一个随从恢复所有生命值。抽一张牌。,SPELL,,,HOLY,,,,,,,,,,,,,,,,,普通
Bima Kusuma,,PRIEST,True,2,122774,交火过程中，一名无辜的旁观者受到了治疗。,,,CATA_303,,净化吐息,,,COMMON,CATACLYSM,对一个随从造成$5点伤害。如果该随从死亡，则为敌方英雄恢复#5点生命值。,SPELL,,,FIRE,,,,,,,,,,,,,,,,,普通
Brian Despain,3.0,PRIEST,True,3,122881,这就是快速自疗。,8.0,,CATA_304,"['BATTLECRY', 'LIFESTEAL']",受伤的侍者,UNDEAD,['UNDEAD'],RARE,CATACLYSM,<b><b>吸血。</b>战吼：</b>对本随从造成4点伤害。,MINION,,,,,,,,,,,,,,,,,,,,稀有
Luke Mancini,3.0,PRIEST,True,4,122878,烧烤的香气！,3.0,,CATA_305,['TRIGGER_VISUAL'],盛怒主母,DRAGON,['DRAGON'],COMMON,CATACLYSM,"在你的回合结束时，如果本随从具有所有生命值，获得+3
生命值。",MINION,,,,,,,,,,,,,,,,,,,,普通
Grafit,,PRIEST,True,4,122874,我知道这半张牌的另一半长什么样。我亲眼看着它被拆。,,,CATA_306,,教派分歧,,,RARE,CATACLYSM,"<b>裂变</b>
使一个友方随从获得+2/+3和<b>扰魔</b>。召唤一个它的复制。122876使一个友方随从获得+2/+3和<b>扰魔</b>。召唤一个它的复制。",SPELL,,['ELUSIVE'],SHADOW,,,选择一个友方随从。,,,,,,,,,,,,,,稀有
Edgar Hidalgo,8.0,PRIEST,True,7,123146,“我赠予了这个世界生命，当然也能夺回！”,8.0,,CATA_307,['BATTLECRY'],阿莱克丝塔萨，生命守护者,DRAGON,['DRAGON'],LEGENDARY,CATACLYSM,<b>战吼：</b>将你的英雄剩余生命值变为15。当你恢复所有生命值时，对敌方英雄造成15点伤害。,MINION,,,,True,,,,,,True,,,,,,,,,,传说
Vika Yarova,,PRIEST,True,5,123570,这条时间线上的麦迪文在与萨格拉斯的长期纠缠之中领悟了真正的黑暗——与此同时，他获得了意料之外的光明之力。,,购买<i>大地的裂变</i>炉石通行证后开放解锁。,CATA_308,,麦迪文的胜利,,,EPIC,CATACLYSM,对所有随从造成$4点伤害。如果你控制着<b>传说</b>牌，本牌的法力值消耗为（1）点。,SPELL,,,HOLY,,,,,,,,,,,,,,,,,史诗
Timur Shevtsov,8.0,PALADIN,True,8,122401,在我们的时间线，奈法里奥斯从未实现缝合五种巨龙的狂想。不过，姆诺兹多找到了他成功的时间线。,8.0,,CATA_432,"['COLOSSAL', 'DIVINE_SHIELD', 'ELUSIVE', 'LIFESTEAL', 'TAUNT']",克洛玛图斯,DRAGON,['DRAGON'],LEGENDARY,CATACLYSM,"<b>巨型+4</b>
<b>嘲讽</b>。<b>吸血</b>。<b>扰魔</b>
<b>圣盾</b>",MINION,,,,True,,,,,,,,,,,,,,,,传说
Ivo Campelo da Silva,,MAGE,True,10,122454,哦，你们自以为很——聪明？*用炎爆轰了他们*,,,CATA_452,,织法者的光辉,,,COMMON,CATACLYSM,召唤一条6/6的龙。在本回合中，你每用法术造成一点伤害，本牌的法力值消耗便减少（1）点。,SPELL,,,ARCANE,,,,,,,,,,,,,,,,,普通
Sergey Tsvelykh,4.0,MAGE,True,4,122632,这张牌的设计原型出自卡雷的构思：卡雷构思。,4.0,,CATA_458,['BATTLECRY'],大法师卡雷,,,LEGENDARY,CATACLYSM,<b>战吼：</b>使你手牌和牌库中所有法术牌获得<b>法术伤害+1</b>。,MINION,,['SPELLPOWER'],,True,,,,,,True,,,,,,,,,,传说
Patrik Bjorkstrom,3.0,DEATHKNIGHT,True,2,122759,嘴巴凉凉哦！,1.0,,CATA_464,['DEATHRATTLE'],黑翼实验品,DRAGON,"['UNDEAD', 'DRAGON']",RARE,CATACLYSM,<b>亡语：</b>获取一张法力值消耗为（2）的法术，该法术可以造成等同于本随从攻击力的伤害。,MINION,,,,,"{'blood': 0, 'frost': 1, 'unholy': 0}",,,,,,,,,,,,,,,稀有
James Ryman,,DEATHKNIGHT,True,8,122760,看！是<i>原汁原味</i>的冒险者……,,,CATA_465,,投喂加餐,,,RARE,CATACLYSM,召唤五条5/4的亡灵幼龙。消耗8份<b>残骸</b>，使其获得<b>突袭</b>。,SPELL,,['RUSH'],,,"{'blood': 0, 'frost': 0, 'unholy': 2}",,,,,,,,,,,,,,,稀有
Studio Hive,2.0,DEATHKNIGHT,True,2,122766,命令键+爪键+删除键,2.0,,CATA_467,['TRIGGER_VISUAL'],命令之爪,,,COMMON,CATACLYSM,在你的英雄攻击后，随机使一个友方随从获得+2攻击力。,WEAPON,,,,,"{'blood': 0, 'frost': 0, 'unholy': 1}",,,,,,0.0,,,,,,,,,普通
Alex Stone,2.0,DEATHKNIGHT,True,4,122771,全系抗性装备都穿上吧。,5.0,,CATA_469,"['RUSH', 'TRIGGER_VISUAL']",多彩龙巢母,DRAGON,"['UNDEAD', 'DRAGON']",EPIC,CATACLYSM,"<b>突袭</b>。每当本随从
攻击时，复原等同于本随从攻击力的法力水晶。",MINION,,,,,"{'blood': 0, 'frost': 1, 'unholy': 1}",,,,,,,,,,,,,,,史诗
Ramzy Kamen,4.0,DEATHKNIGHT,True,4,122778,呃，其实吧，那条亡灵巨龙是维克多·奈法里奥斯的怪物，维克多·奈法里奥斯才是疯狂的科学家。,4.0,,CATA_470,['BATTLECRY'],维克多·奈法里奥斯,UNDEAD,['UNDEAD'],LEGENDARY,CATACLYSM,<b>战吼：</b>制造一条自定义的亡灵龙。如果你的手牌中有龙牌，制造的这条龙的法力值消耗减少（3）点。,MINION,,,,True,"{'blood': 0, 'frost': 0, 'unholy': 1}",,,,,True,,,,,,,,,,传说
Kevin Sidharta,,DEATHKNIGHT,True,5,122879,塔兰吉和邦桑迪之间的关系一言难尽。然而死亡之翼大军压境，双方还是通力合作，带领着赞达拉人民抵御外敌。,,,CATA_471,,塔兰吉的奋战,,,RARE,CATACLYSM,"使你的随从获得
“<b>亡语：</b>随机召唤一个法力值消耗为（4）的随从。”",SPELL,,['DEATHRATTLE'],,,"{'blood': 0, 'frost': 0, 'unholy': 2}",,,,,,,,,,,,,,,稀有
Tanamaes Leejierasaes,2.0,PALADIN,True,2,123106,这柄大槌总能给我灵感！打人的灵感。,2.0,,CATA_472,['DEATHRATTLE'],灵感之槌,,,COMMON,CATACLYSM,<b>亡语：</b>随机触发一个友方随从的回合结束效果。,WEAPON,,,,,,,,,,,0.0,,,,,,,,,普通
Zoltan Boros,4.0,PALADIN,True,5,123109,诺兹多姆，我是来谈条件的！,4.0,,CATA_473,['TRIGGER_VISUAL'],诺兹多姆，青铜守护巨龙,,,LEGENDARY,CATACLYSM,在你的回合结束时，使你的随从获得<b>圣盾</b>，已有圣盾的随从改为获得+3/+3。,MINION,,['DIVINE_SHIELD'],,True,,,,,,,,,,,,,,,,传说
Jason Kang,3.0,PALADIN,True,4,123112,“没关系的，在我心里像根矛一样轻。”,4.0,,CATA_474,['TRIGGER_VISUAL'],矛心哨卫,DRAGON,['DRAGON'],RARE,CATACLYSM,在你的回合结束时，随机获取一张神圣法术牌，其法力值消耗减少（3）点。,MINION,,,,,,,,,,,,,,,,,,,,稀有
Matt Dixon,3.0,PALADIN,True,6,123114,阿盾！守住大门！,6.0,,CATA_475,['TRIGGER_VISUAL'],破鳞盾卫,,,COMMON,CATACLYSM,"在你的回合结束时，对所有敌人造成
2点伤害。",MINION,,,,,,,,,,,,HORDE,,,,,,,,普通
Sergey Tsvelykh,3.0,NEUTRAL,True,8,123115,我是青铜护卫者，守护青铜一族的巨龙。诺兹多姆也在他面前瑟瑟发抖！,7.0,,CATA_476,['TRIGGER_VISUAL'],青铜护卫者,DRAGON,['DRAGON'],COMMON,CATACLYSM,在你的回合结束时，召唤一条6/6并具有<b>圣盾</b>的元素巨龙。,MINION,,['DIVINE_SHIELD'],,,,,,,,,,,,,,,,,,普通
BOSi Studio,,PALADIN,True,2,123117,不要小看守护巨龙的看家本事。,2.0,,CATA_477,,守护巨龙之厅,,,COMMON,CATACLYSM,选择你手牌中的一张随从牌，使其获得+2/+2。,LOCATION,,,,,,选择你手牌中的一张随从牌。,,,,,,,,,,,,,,普通
James Ryman,3.0,PALADIN,True,5,123123,高贵的圣骑士只会选用最高级的青铜。,3.0,,CATA_478,['TRIGGER_VISUAL'],青铜救赎者,,,EPIC,CATACLYSM,在你的回合结束时，召唤一条属性值等同于本随从的龙。,MINION,,,,,,,,,,,,,,,,,,,,史诗
BOSi Studio,,PALADIN,True,4,123139,首先，我们让A区至C区的乘客登机，然后起飞，绕机场飞一圈——不为别的，就是玩儿。然后降落，再让经济舱登机。,,,CATA_479,,飞龙机动,,,EPIC,CATACLYSM,"<b>裂变</b>
召唤两条4/2的幼龙。使你的随从获得+1/+1和<b>圣盾</b>。123141召唤两条4/2的幼龙。使你的随从获得+1/+1和<b>圣盾</b>。",SPELL,,['DIVINE_SHIELD'],HOLY,,,,,,,,,,,,,,,,,史诗
Tee Fuyuan,,PALADIN,True,3,123691,时间之沙总会扰动时间流，特别是在卡进我的手表的时候。,,,CATA_480,,沙怒光环,,,RARE,CATACLYSM,你的随从的回合结束效果会触发两次。持续3回合。,SPELL,,,HOLY,,,,,,,,,,,,,,,,,稀有
Alex Horley Orlandelli,5.0,ROGUE,True,5,123332,“你还吃不吃了？”,3.0,,CATA_481,"['BATTLECRY', 'DEATHRATTLE']",厄索拉斯,,,LEGENDARY,CATACLYSM,<b>战吼：</b>随机吞食对手的两张手牌，然后<b>休眠</b>2回合。<b>亡语：</b>吐回吞食的牌。,MINION,,,,True,,,,,,,,,,,,,,,,传说
Mauricio Herrera,2.0,MAGE,True,4,123351,1，2，3，4，法术决斗！,5.0,,CATA_483,"['BATTLECRY', 'SPELLPOWER']",不稳定的施法者,ELEMENTAL,['ELEMENTAL'],EPIC,CATACLYSM,<b>法术伤害+1</b>。<b>战吼：</b>如果你在本回合中用法术造成过伤害，召唤一个本随从的复制。,MINION,,,,,,,,,,,,,1.0,,,,,,,史诗
Matt Dixon,1.0,MAGE,True,1,123398,学习展翅飞翔的时候，参考其他职业的经验很重要！,2.0,,CATA_484,"['BATTLECRY', 'DISCOVER']",冬泉雏龙,DRAGON,['DRAGON'],COMMON,CATACLYSM,<b>战吼：</b><b>发现</b>一张任意职业的法力值消耗为（1）的法术牌。,MINION,,,,,,,,,,,,,,,,,,,,普通
Gabriel Lopes,,MAGE,True,1,123410,袋底藏雪！,,,CATA_485,,激寒急流,,,COMMON,CATACLYSM,造成$2点伤害。随机对一个敌方随从造成$1点伤害。,SPELL,,,FROST,,,,,,,,,,,,,,,,,普通
Tanamaes Leejierasaes,1.0,MAGE,True,2,123419,请将甘霖赐予纳沙塔尔……,4.0,,CATA_487,['TRIGGER_VISUAL'],祈雨元素,ELEMENTAL,['ELEMENTAL'],RARE,CATACLYSM,每回合中，你第一次用法术造成伤害时，获得+2攻击力。,MINION,,,,,,,,,,,,,,,,,,,,稀有
Zoltan Boros,4.0,MAGE,True,7,123665,拉格纳罗斯誓要让艾泽拉斯化为火海。他唤醒了一座活火山，熔岩横流，漫过了贫瘠之地。,8.0,,CATA_488,"['COLOSSAL', 'TRIGGER_VISUAL']",沃坎诺斯,ELEMENTAL,['ELEMENTAL'],LEGENDARY,CATACLYSM,"<b>巨型+2</b>
在你的回合结束时，对所有其他随从造成2点伤害。",MINION,,,,True,,,,,,,,,,,,,,,,传说
